Time,Open,High,Low,Close
2012/11/27 7:0:0,12971.0,12994.0,12866.0,12869.0
2012/11/28 7:0:0,12870.0,12987.0,12764.0,12955.0
2012/11/29 7:0:0,12956.0,13062.0,12956.0,13006.0
2012/11/30 7:0:0,13005.0,13071.0,12988.0,13030.0
2012/12/2 7:0:0,13028.0,13028.0,13028.0,13028.0
2012/12/3 7:0:0,13020.0,13092.0,12945.0,12952.0
2012/12/4 7:0:0,12950.0,13025.0,12916.0,12929.0
2012/12/5 7:0:0,12927.0,13090.0,12923.0,13038.0
2012/12/6 7:0:0,13039.0,13077.0,13002.0,13069.0
2012/12/7 7:0:0,13068.0,13157.0,13038.0,13143.0
2012/12/9 7:0:0,13146.0,13163.0,13145.0,13150.0
2012/12/10 7:0:0,13151.0,13196.0,13106.0,13161.0
2012/12/11 7:0:0,13160.0,13306.0,13152.0,13276.0
2012/12/12 7:0:0,13275.0,13327.0,13218.0,13235.0
2012/12/13 7:0:0,13236.0,13264.0,13147.0,13185.0
2012/12/14 7:0:0,13183.0,13214.0,13117.0,13149.0
2012/12/16 7:0:0,13196.0,13205.0,13181.0,13192.0
2012/12/17 7:0:0,13191.0,13254.0,13139.0,13247.0
2012/12/18 7:0:0,13248.0,13365.0,13229.0,13331.0
2012/12/19 7:0:0,13332.0,13376.0,13218.0,13232.0
2012/12/20 7:0:0,13231.0,13316.0,13217.0,13308.0
2012/12/21 7:0:0,13310.0,13311.0,13020.0,13198.0
2012/12/23 7:0:0,13195.0,13198.0,13167.0,13171.0
2012/12/24 7:0:0,13172.0,13178.0,13127.0,13132.0
2012/12/26 7:0:0,13165.0,13175.0,13078.0,13108.0
